CO_PROCEDIMENTO,CO_CID,ST_PRINCIPAL,DT_COMPETENCIA
0201010038,C73,S,202306
0201010038,D093,S,202306
0201010038,D34,S,202306
0201010038,D440,S,202306
0201010046,C211,S,202306
0201010046,C218,S,202306
0201010046,D013,S,202306
0201010046,K626,S,202306
0201010046,K629,S,202306
0201010062,C670,S,202306
0201010062,C671,S,202306
0201010062,C672,S,202306
0201010062,C673,S,202306
0201010062,C674,S,202306
0201010062,C675,S,202306
0201010062,C678,S,202306
0201010062,D090,S,202306
0201010062,D303,S,202306
0201010062,N300,S,202306
0201010062,N301,S,202306
0201010062,N302,S,202306
0201010062,N303,S,202306
0201010062,N304,S,202306
0201010062,N308,S,202306
0201010062,N330,S,202306
0201010062,N338,S,202306
0201010070,C632,S,202306
0201010070,D294,S,202306
0201010097,C690,S,202306
0201010097,D210,S,202306
0201010097,H119,S,202306
0201010100,C631,S,202306
0201010100,D297,S,202306
0201010119,H158,S,202306
0201010119,H189,S,202306
0201010127,B902,S,202306
0201010127,C409,S,202306
0201010127,C412,S,202306
0201010127,C419,S,202306
0201010127,C795,S,202306
0201010127,D166,S,202306
0201010127,D169,S,202306
0201010127,D480,S,202306
0201010127,G600,S,202306
0201010127,G952,S,202306
0201010127,G958,S,202306
0201010127,M053,S,202306
0201010127,M058,S,202306
0201010127,M059,S,202306
0201010127,M060,S,202306
0201010127,M061,S,202306
0201010127,M064,S,202306
0201010127,M068,S,202306
0201010127,M069,S,202306
0201010127,M072,S,202306
0201010127,M080,S,202306
0201010127,M081,S,202306
0201010127,M082,S,202306
0201010127,M083,S,202306
0201010127,M146,S,202306
0201010127,M401,S,202306
0201010127,M402,S,202306
0201010127,M403,S,202306
0201010127,M404,S,202306
0201010127,M413,S,202306
0201010127,M415,S,202306
0201010127,M418,S,202306
0201010127,M419,S,202306
0201010127,M420,S,202306
0201010127,M421,S,202306
0201010127,M429,S,202306
0201010127,M430,S,202306
0201010127,M431,S,202306
0201010127,M436,S,202306
0201010127,M439,S,202306
0201010127,M45,S,202306
0201010127,M462,S,202306
0201010127,M463,S,202306
0201010127,M464,S,202306
0201010127,M465,S,202306
0201010127,M468,S,202306
0201010127,M469,S,202306
0201010127,M470,S,202306
0201010127,M471,S,202306
0201010127,M472,S,202306
0201010127,M478,S,202306
0201010127,M479,S,202306
0201010127,M480,S,202306
0201010127,M481,S,202306
0201010127,M482,S,202306
0201010127,M483,S,202306
0201010127,M484,S,202306
0201010127,M485,S,202306
0201010127,M488,S,202306
0201010127,M490,S,202306
0201010127,M491,S,202306
0201010127,M492,S,202306
0201010127,M493,S,202306
0201010127,M494,S,202306
0201010127,M495,S,202306
0201010127,M500,S,202306
0201010127,M501,S,202306
0201010127,M502,S,202306
0201010127,M503,S,202306
0201010127,M508,S,202306
0201010127,M509,S,202306
0201010127,M510,S,202306
0201010127,M511,S,202306
0201010127,M512,S,202306
