CO_CID,NO_CID,TP_AGRAVO,TP_SEXO,TP_ESTADIO,VL_CAMPOS_IRRADIADOS
A00,Cólera,0,I,N,0000
A000,"Cólera devida a Vibrio Cholerae 01, biótipo Cholerae",2,I,N,0000
A001,"Cólera devida a Vibrio Cholerae 01, biótipo El Tor",2,I,N,0000
A009,Cólera não especificada,2,I,N,0000
A01,Febres tifóide e paratifóide,0,I,N,0000
A010,Febre tifóide,1,I,N,0000
A011,Febre paratifóide A,0,I,N,0000
A012,Febre paratifóide B,0,I,N,0000
A013,Febre paratifóide C,0,I,N,0000
A014,Febre paratifóide não especificada,0,I,N,0000
A02,Outras infecções por Salmonella,0,I,N,0000
A020,Enterite por salmonela,1,I,N,0000
A021,Septicemia por salmonela,1,I,N,0000
A022,Infecções localizadas por salmonela,1,I,N,0000
A028,Outras infecções especificadas por salmonela,1,I,N,0000
A029,Infecção não especificada por salmonela,1,I,N,0000
A03,Shiguelose,0,I,N,0000
A030,Shiguelose devida a Shigella Dysenteriae,0,I,N,0000
A031,Shiguelose devida a Shigella Flexneri,0,I,N,0000
A032,Shiguelose devida a Shigella Boydii,0,I,N,0000
A033,Shiguelose devida a Shigella Sonnei,0,I,N,0000
A038,Outras shigueloses,0,I,N,0000
A039,Shiguelose não especificada,0,I,N,0000
A04,Outras infecções intestinais bactérianas,0,I,N,0000
A040,Infecção por Escherichia Coli enteropatogênica,0,I,N,0000
A041,Infecção por Escherichia Coli enterotoxigênica,0,I,N,0000
A042,Infecção por Escherichia Coli enteroinvasiva,0,I,N,0000
A043,Infecção por Escherichia Coli enterohemorrágica,0,I,N,0000
A044,Outras infecções intestinais por escherichia coli,0,I,N,0000
A045,Enterite por Campylobacter,0,I,N,0000
A046,Enterite devida a Yersinia enterocolítica,0,I,N,0000
A047,Enterocolite devida a Clostridium Difficile,0,I,N,0000
A048,Outras infecções bacterianas intestinais especificadas,0,I,N,0000
A049,Infecção intestinal bacteriana não especificada,0,I,N,0000
A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",0,I,N,0000
A050,Intoxicação alimentar estafilocócica,0,I,N,0000
A051,Botulismo,2,I,N,0000
A052,Intoxicação alimentar devida a Clostridium Perfringens [Clostridium Welchii],0,I,N,0000
A053,Intoxicação alimentar devida a Vibrio Parahemolyticus,0,I,N,0000
A054,Intoxicação alimentar devida a Bacillus Cereus,0,I,N,0000
A058,Outras intoxicações alimentares bacterianas especificadas,0,I,N,0000
A059,Intoxicação alimentar bacteriana não especificada,0,I,N,0000
A06,Amebiase,0,I,N,0000
A060,Disenteria amebiana aguda,0,I,N,0000
A061,Amebíase intestinal crônica,0,I,N,0000
A062,Colite amebiana não-disentérica,0,I,N,0000
A063,Ameboma intestinal,0,I,N,0000
A064,Abscesso amebiano do fígado,0,I,N,0000
A065,Abscesso amebiano do pulmão,0,I,N,0000
A066,Abscesso amebiano do cérebro,0,I,N,0000
A067,Amebíase cutânea,0,I,N,0000
A068,Infecção amebiana de outras localizações,0,I,N,0000
A069,Amebíase não especificada,0,I,N,0000
A07,Doenças intestinais por protozoários,0,I,N,0000
